pair_id,type,local_file,r2_key,status
01,handout,"/Users/gabe/Downloads/ACEP Lecture Handouts/1. AEMUS 26_Physics Handout.pdf",sources/acep-course-2026/pairs/01/handout/1.-aemus-26_physics-handout.pdf,uploaded
01,lecture,"/Users/gabe/Downloads/ACEP Lecture slides/1. AEMUS 26_Physics.pdf",sources/acep-course-2026/pairs/01/lecture/1.-aemus-26_physics.pdf,uploaded
02,handout,"/Users/gabe/Downloads/ACEP Lecture Handouts/2. AEMUS 26_US Education Handout.pdf",sources/acep-course-2026/pairs/02/handout/2.-aemus-26_us-education-handout.pdf,uploaded
02,lecture,"/Users/gabe/Downloads/ACEP Lecture slides/2. AEMUS 26_US Education.pdf",sources/acep-course-2026/pairs/02/lecture/2.-aemus-26_us-education.pdf,uploaded
03,handout,"/Users/gabe/Downloads/ACEP Lecture Handouts/3. AEMUS 26_Research Handout.pdf",sources/acep-course-2026/pairs/03/handout/3.-aemus-26_research-handout.pdf,uploaded
03,lecture,"/Users/gabe/Downloads/ACEP Lecture slides/3. AEMUS 26_Research.pdf",sources/acep-course-2026/pairs/03/lecture/3.-aemus-26_research.pdf,uploaded
04,handout,"/Users/gabe/Downloads/ACEP Lecture Handouts/4. AEMUS 26_Basic Echo Handout.pdf",sources/acep-course-2026/pairs/04/handout/4.-aemus-26_basic-echo-handout.pdf,uploaded
04,lecture,"/Users/gabe/Downloads/ACEP Lecture slides/4. AEMUS 26_Basic Echo.pdf",sources/acep-course-2026/pairs/04/lecture/4.-aemus-26_basic-echo.pdf,uploaded
05,handout,"/Users/gabe/Downloads/ACEP Lecture Handouts/5. AEMUS 26_RV Echo Handout.pdf",sources/acep-course-2026/pairs/05/handout/5.-aemus-26_rv-echo-handout.pdf,uploaded
05,lecture,"/Users/gabe/Downloads/ACEP Lecture slides/5. AEMUS 26_RV Echo.pdf",sources/acep-course-2026/pairs/05/lecture/5.-aemus-26_rv-echo.pdf,uploaded
06,handout,"/Users/gabe/Downloads/ACEP Lecture Handouts/6. AEMUS 26_Advanced Cardiac_Trauma and Resuscitation Handout.pdf",sources/acep-course-2026/pairs/06/handout/6.-aemus-26_advanced-cardiac_trauma-and-resuscitation-handout.pdf,uploaded
06,lecture,"/Users/gabe/Downloads/ACEP Lecture slides/7. AEMUS 26_Trauma-Resuscitation.pdf",sources/acep-course-2026/pairs/06/lecture/7.-aemus-26_trauma-resuscitation.pdf,uploaded
07,handout,"/Users/gabe/Downloads/ACEP Lecture Handouts/7. AEMUS 26_Advanced LV ECHO_TEE Handout.pdf",sources/acep-course-2026/pairs/07/handout/7.-aemus-26_advanced-lv-echo_tee-handout.pdf,uploaded
07,lecture,"/Users/gabe/Downloads/ACEP Lecture slides/6. AEMUS 26_Advanced LV ECHO.pdf",sources/acep-course-2026/pairs/07/lecture/6.-aemus-26_advanced-lv-echo.pdf,uploaded
08,handout,"/Users/gabe/Downloads/ACEP Lecture Handouts/8. AEMUS 26_MSK US Handout.pdf",sources/acep-course-2026/pairs/08/handout/8.-aemus-26_msk-us-handout.pdf,uploaded
08,lecture,"/Users/gabe/Downloads/ACEP Lecture slides/8. AEMUS 26_MSK US.pdf",sources/acep-course-2026/pairs/08/lecture/8.-aemus-26_msk-us.pdf,uploaded
09,handout,"/Users/gabe/Downloads/ACEP Lecture Handouts/9. AEMUS 26_Ocular US Handout.pdf",sources/acep-course-2026/pairs/09/handout/9.-aemus-26_ocular-us-handout.pdf,uploaded
