chapter_id,chapter_name,file_name,local_path,r2_key,size_bytes,sha256
us-01,FAST,1. FAST.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/1. FAST.pdf",sources/emergency-clinical-ultrasound/01-fast.pdf,5352400,fa3d3be8cad036eee9566620d02157e32d1a087ecabf1e6faba126f5335ea773
us-02,Focused Echo,2. Focused Echo.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/2. Focused Echo.pdf",sources/emergency-clinical-ultrasound/02-focused-echo.pdf,11205304,1db5843bf99d6c7dc285188efec0e1dc92d511ceeda0fc74dca85a291136b179
us-03,Physics and Knobology,3. Physics and Knobology.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/3. Physics and Knobology.pdf",sources/emergency-clinical-ultrasound/03-physics-and-knobology.pdf,4525092,449f53bd396c6069e3e5b7b35ed4645d3b2392209b626ce4fc4b5ac9ca925abd
us-04,Resuscitative US,4. Resuscitative US.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/4. Resuscitative US.pdf",sources/emergency-clinical-ultrasound/04-resuscitative-us.pdf,6336819,12ba5b52e0d436b101521f66451fa3680ce5d5352c5b747ab83985370351ef89
us-05,Thoracic Ultrasound,5. Thoracic Ultrasound.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/5. Thoracic Ultrasound.pdf",sources/emergency-clinical-ultrasound/05-thoracic-ultrasound.pdf,3498174,07302f43c32fc53a3b7754131089f9b92c9751784dd8ddbb710792e715f12ac2
us-06,Aorta,6. Aorta.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/6. Aorta.pdf",sources/emergency-clinical-ultrasound/06-aorta.pdf,5969488,4b73b9b4f1b9fa4f2517223ed85886e8588f96e0cbc8f4300573cc526b785d2e
us-07,Hepatobiliary,7. Hepatobiliary.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/7. Hepatobiliary.pdf",sources/emergency-clinical-ultrasound/07-hepatobiliary.pdf,7150851,664579550f91b2d121253ecfb14366fb731b9441f35aa3d8bf3c1ba377e6030d
us-08,Renal,8. Renal.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/8. Renal.pdf",sources/emergency-clinical-ultrasound/08-renal.pdf,3370649,1e011279588fb6f21a35221bee2522652e3493b0f6f2d093e910bb9d2a963e72
us-09,Pregnancy,9. Pregnancy.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/9. Pregnancy.pdf",sources/emergency-clinical-ultrasound/09-pregnancy.pdf,4259150,54fe1d18d86a81520581e562aab936b650dcd5bb3886c1c0aeff10d3573f1d9b
us-10,Gynecologic,10. Gynecologic.pdf,"/Users/gabe/Downloads/Textbooks and FPD Prep/Emergency and Clinical Ultrasound/10. Gynecologic.pdf",sources/emergency-clinical-ultrasound/10-gynecologic.pdf,3582341,a0067bb38ad62ac7ff529d5ac5e60e283a1762efac46d9b0d91f422eca4edb9a
