chapter_num,file_name,local_path,r2_key,size_bytes,sha256
1,"Ch.1_Intro.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.1_Intro.pdf",sources/gottlieb-pocus-by-chapter/ch.1_intro.pdf,426133,fdaef47965d1cef5349b43803ce584f28380bf773bb180e12f16d0201bb99deb
2,"Ch.2_Ultrasound_Physics_Knobology_and Safety.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.2_Ultrasound_Physics_Knobology_and Safety.pdf",sources/gottlieb-pocus-by-chapter/ch.2_ultrasound_physics_knobology_and-safety.pdf,921828,ac48474c4601247329c1180245256265694fec5471f213862654705d4f3f987f
3,"Ch.3_Ultrasound_for_Trauma_Evaluation.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.3_Ultrasound_for_Trauma_Evaluation.pdf",sources/gottlieb-pocus-by-chapter/ch.3_ultrasound_for_trauma_evaluation.pdf,759484,c681dc39c02e74310d984a4627ecf031e4c64d3e7c3e9f83354c4547260592fb
4,"Ch.4_Core_cardiac_ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.4_Core_cardiac_ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.4_core_cardiac_ultrasound.pdf,1193311,10aca16835f7b71924ede7a7681389b717bdb96e6f8058b4d0df171740ca33dd
5,"Ch.5_Advanced_Cardiac_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.5_Advanced_Cardiac_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.5_advanced_cardiac_ultrasound.pdf,1412765,91dade46118a134bf5e598e32a729fd453434b6880d9e5ef16825f3a4e13dea6
6,"Ch.6_Transesophageal_Echocardiography.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.6_Transesophageal_Echocardiography.pdf",sources/gottlieb-pocus-by-chapter/ch.6_transesophageal_echocardiography.pdf,980475,23c8b2e70fa643dfa7fe757498b451c777522e95864fbc16063e365f52ad267b
7,"Ch.7_Thoracic_and_Lung_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.7_Thoracic_and_Lung_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.7_thoracic_and_lung_ultrasound.pdf,948635,ac9dbe21ee51c16bcd840480d32086f23197efe53e18759bb756d41b384fdc7a
8,"Ch.8_Ultrasound_of_the_Aorta.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.8_Ultrasound_of_the_Aorta.pdf",sources/gottlieb-pocus-by-chapter/ch.8_ultrasound_of_the_aorta.pdf,736363,4fb4655329db4fce875342d56b01fb023e23c1ee43dde18573bdff5eecff4a8e
9,"Ch.9_Renal_Urinary_Bladder Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.9_Renal_Urinary_Bladder Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.9_renal_urinary_bladder-ultrasound.pdf,1692853,8c8172242abaf142ae2320d8f4e289032e7a37e9c2bab44100397bf577e744cf
10,"Ch.10_Hepatobiliary_Pancreas_and_Spleen_Ultrsound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.10_Hepatobiliary_Pancreas_and_Spleen_Ultrsound.pdf",sources/gottlieb-pocus-by-chapter/ch.10_hepatobiliary_pancreas_and_spleen_ultrsound.pdf,1686723,eecbecdc13ff4751f362df27a813664efeeb227dc0df685931ce425d4bb55445
11,"Ch.11_Gastrointestinal_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.11_Gastrointestinal_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.11_gastrointestinal_ultrasound.pdf,1141370,d5499af4c7f014e916059886cd74bf202f8326d746d02487078cb0694e87c5f9
12,"Ch.12_Obstetric_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.12_Obstetric_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.12_obstetric_ultrasound.pdf,1541873,0a5902d84d74673849fd3ca09845577870dae03ed4f9499746cccc7d37c68df0
13,"Ch.13_Gynecological_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.13_Gynecological_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.13_gynecological_ultrasound.pdf,1386352,9c26cfe5379fa8c008fbd40a18c0b5a37bceaedb5bbdec63bedc536c30f287f7
14,"Ch.14_Male_Genitourinary_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.14_Male_Genitourinary_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.14_male_genitourinary_ultrasound.pdf,1758618,66342a9c9c42526b54c5472ec628769434fd69936ea464fa00ed0aa03c3bf882
15,"Ch.15_Ocular_Ultrasoundpdf.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.15_Ocular_Ultrasoundpdf.pdf",sources/gottlieb-pocus-by-chapter/ch.15_ocular_ultrasoundpdf.pdf,923003,7d12a1da3da02153b2cd2776a3fdf10c2bb5720033c04b28cc76d7b2b8eac0d1
16,"Ch.16_Central_Nervous_System_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.16_Central_Nervous_System_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.16_central_nervous_system_ultrasound.pdf,1656214,92e6613656dd35b7108c8f9e48b35c7bfb74bc4d021503449e3472686df6463e
17,"Ch.17_Head_and_Neck_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.17_Head_and_Neck_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.17_head_and_neck_ultrasound.pdf,1611204,3ad09bbd4657081f8b4d03bc0e07a6cc2f227ea42c1845c47bc4a841a3004570
18,"Ch.18_Skin_and_Soft Tissue.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.18_Skin_and_Soft Tissue.pdf",sources/gottlieb-pocus-by-chapter/ch.18_skin_and_soft-tissue.pdf,1038207,f0726dcbee155235334cbd5f125483770d7dc9e30e90dd5cfb6508c5c13645e6
